candidate_id,confidence,recommended_action,name,name_en,aliases,brand_name,brewery,beer_style,abv,ibu,country,origin_region,image_url,description,tasting_note,status,source,source_drink_count,source_tenant_count,public_visible_count,enabled_count,source_drink_ids,source_tenant_ids,source_names,source_brand_names,source_breweries,review_note
candidate_0191,exact_brand_name_match,create_product_then_link_source_drinks,副本,,,浦江半岛,浦江半岛,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/4d1da7d9-8b21-4706-b535-355b9ff79388/drinks/4d1da7d9-8b21-4706-b535-355b9ff70105/no-menu-beer-artwork__17_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,4d1da7d9-8b21-4706-b535-355b9ff70105|41a7c973-03e8-423a-9829-16ccc1ddb9d1,4d1da7d9-8b21-4706-b535-355b9ff79388|13b6f277-ab0d-4c19-ba8a-d97a5af9f51d,副本,浦江半岛,浦江半岛,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0301,exact_brand_name_match,create_product_then_link_source_drinks,谷仓金,,,Fever,Fever,金色窑臧拉格,5.9,,西安,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/81a90487-39c9-46bb-b221-68ff631275d6/drinks/cf0db959-5861-404d-b2c4-b2267093eced/no-menu-beer-artwork__30_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,1,2,0fcfe276-265d-423d-b0a6-f4786621e491|cf0db959-5861-404d-b2c4-b2267093eced,57d005da-1193-4bd2-955a-ef6b9653516d|81a90487-39c9-46bb-b221-68ff631275d6,谷仓金,Fever|FEVER,Fever|FEVER,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0162,exact_brand_name_match,create_product_then_link_source_drinks,谷仓铜,,,Fever,Fever,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/2c191730-69f6-4031-8256-91aa59e5bc52/drinks/6fc0f737-7b31-416f-b5aa-f197d20a416e/no-menu-beer-artwork__70_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,1,04045c1e-642a-467f-be0c-3cf1031f1b70|6fc0f737-7b31-416f-b5aa-f197d20a416e,81a90487-39c9-46bb-b221-68ff631275d6|2c191730-69f6-4031-8256-91aa59e5bc52,谷仓铜,Fever|FEVER,Fever|FEVER,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0144,exact_brand_name_match,create_product_then_link_source_drinks,拐点,,,蔓延,蔓延,,,,,,,,,active,production_drinks_2026-06-30_conservative_exact_key,2,1,0,0,ea0c90ef-16dd-4130-9598-8bdf307d7733|ba9b8530-54f2-4c76-9d5b-132044ee4adb,81a90487-39c9-46bb-b221-68ff631275d6,拐点,蔓延,蔓延,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0319,exact_brand_name_match,create_product_then_link_source_drinks,果味满满,,,回头客,回头客,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/283206e3-22d9-4a54-b8a5-70694b1ec062/drinks/d07741c4-3943-426c-af05-6908d7c4f63a/no-menu-beer-artwork__92_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,d07741c4-3943-426c-af05-6908d7c4f63a|7dce1b6f-0f72-4a76-804b-29b514410ee0,283206e3-22d9-4a54-b8a5-70694b1ec062|c3af90db-9734-4750-927c-38f6b37fb3e0,果味满满,回头客,回头客,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0353,exact_brand_name_match,create_product_then_link_source_drinks,寒鸦与钟声,,,彼岸酿造,彼岸酿造,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/494bcf1f-8346-480f-a396-204b104c9313/drinks/d06d6219-2e87-4fb3-adf6-a1247f953050/no-menu-beer-artwork__1_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,883c61a5-dac8-454b-b97a-e5296016faab|d06d6219-2e87-4fb3-adf6-a1247f953050,7aa1147c-5c8b-4c68-bc11-56ce34608689|494bcf1f-8346-480f-a396-204b104c9313,寒鸦与钟声,彼岸酿造,彼岸酿造,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0132,exact_brand_name_match,create_product_then_link_source_drinks,黄河之水,,,或不凡,或不凡,,,,,,,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,44a4429c-fb70-47a5-923b-370fce8f0108|b03bd279-f7e0-42f4-9692-b35ac88e408d,44a4429c-fb70-47a5-923b-370fce8f167e|81a90487-39c9-46bb-b221-68ff631275d6,黄河之水,或不凡,或不凡,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0358,exact_brand_name_match,create_product_then_link_source_drinks,今日与春风相会,,,云朴精酿,云朴精酿,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/494bcf1f-8346-480f-a396-204b104c9313/drinks/380ff1b2-db96-4791-a407-5d7b75bf0edf/no-menu-beer-artwork__3_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,0,2,8edee3c4-0a93-4a56-ac1e-c036738d24da|380ff1b2-db96-4791-a407-5d7b75bf0edf,7aa1147c-5c8b-4c68-bc11-56ce34608689|494bcf1f-8346-480f-a396-204b104c9313,今日与春风相会,云朴精酿,云朴精酿,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0616,exact_brand_name_match,create_product_then_link_source_drinks,金标,,,小熊贝莲,小熊贝莲,拉格,5,,日本,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/7aa1147c-5c8b-4c68-bc11-56ce34608689/drinks/1daf6154-31c6-47a6-8a66-91d9aa9563a3/no-menu-beer-artwork__3_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,2,2,1daf6154-31c6-47a6-8a66-91d9aa9563a3|9230ff47-4dac-4a8a-9bf6-bb86642d694d,7aa1147c-5c8b-4c68-bc11-56ce34608689|57d005da-1193-4bd2-955a-ef6b9653516d,金标,小熊贝莲,小熊贝莲,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0481,exact_brand_name_match,create_product_then_link_source_drinks,金狼之舞,,,虽吴,虽吴,APA,5,,苏州,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/7aa1147c-5c8b-4c68-bc11-56ce34608689/drinks/f157c23d-c2ee-4bcc-b6bf-20330d3af0da/no-menu-beer-artwork__51_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,2,2,1,2,f157c23d-c2ee-4bcc-b6bf-20330d3af0da|572775af-27fb-4422-9669-8c29631e007b,7aa1147c-5c8b-4c68-bc11-56ce34608689|4d1da7d9-8b21-4706-b535-355b9ff79388,金狼之舞,虽吴,虽吴|虽吾,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
